Gold2000,Silver2000,Bronze2000,Total2000,Population,Athletes,GDP,Total1996,Log1996,Log.population,Log.GDP,target
39.0,25.0,33.0,97.0,274028.0,664.0,7567100.0,101.0,4.615121,12.520986,15.83932,N
32.0,28.0,28.0,88.0,147434.0,468.0,356030.0,63.0,4.143135,11.901136,12.78277,N
28.0,16.0,15.0,59.0,1255698.0,295.0,906079.0,50.0,3.912023,14.043202,13.716882,N
16.0,25.0,17.0,58.0,18520.0,655.0,367802.0,41.0,3.713572,9.826607,12.8153,N
14.0,17.0,26.0,57.0,82133.0,497.0,2364632.0,65.0,4.174387,11.316095,14.676133,N
13.0,14.0,11.0,38.0,58683.0,359.0,1533619.0,37.0,3.610918,10.979905,14.243141,N
14.0,8.0,13.0,35.0,57369.0,413.0,1140484.0,35.0,3.555348,10.957259,13.946963,N
11.0,11.0,7.0,29.0,11116.0,245.0,18600.0,25.0,3.218876,9.316141,9.830917,N
11.0,10.0,7.0,28.0,58649.0,355.0,1152136.0,15.0,2.70805,10.979326,13.957128,N
8.0,9.0,11.0,28.0,23348.0,292.0,483130.0,27.0,3.295837,10.058267,13.088041,N
11.0,6.0,9.0,26.0,22474.0,169.0,36191.0,20.0,2.995732,10.020114,10.496566,N
12.0,9.0,4.0,25.0,15678.0,254.0,402565.0,19.0,2.944439,9.660014,12.905612,N
3.0,10.0,10.0,23.0,50861.0,248.0,60904.0,23.0,3.135494,10.836852,11.017054,N
5.0,8.0,5.0,18.0,126281.0,286.0,5149185.0,14.0,2.639057,11.746265,15.454349,N
8.0,6.0,3.0,17.0,10116.0,204.0,44274.0,21.0,3.044522,9.221874,10.698153,N
3.0,3.0,11.0,17.0,10315.0,156.0,22452.0,15.0,2.70805,9.241354,10.019135,N
6.0,5.0,3.0,14.0,38718.0,205.0,124682.0,17.0,2.833213,10.56406,11.733522,N
3.0,3.0,8.0,14.0,30563.0,332.0,569899.0,22.0,3.091042,10.327545,13.253214,N
5.0,6.0,2.0,13.0,8336.0,98.0,9924.0,15.0,2.70805,9.028339,9.202711,P
4.0,6.0,3.0,13.0,10600.0,166.0,120021.0,8.0,2.079442,9.268609,11.695422,N
4.0,5.0,3.0,12.0,8875.0,164.0,227315.0,8.0,2.079442,9.090994,12.334092,N
0.0,6.0,6.0,12.0,165851.0,206.0,709591.0,15.0,2.70805,12.018845,13.472444,N
3.0,3.0,5.0,11.0,39628.0,354.0,563249.0,17.0,2.833213,10.587291,13.241477,N
4.0,3.0,3.0,10.0,4419.0,110.0,151198.0,7.0,1.94591,8.393669,11.926346,N
1.0,6.0,2.0,9.0,7299.0,115.0,313729.0,7.0,1.94591,8.895493,12.656285,N
4.0,1.0,3.0,8.0,59649.0,31.0,6042.0,3.0,1.098612,10.996233,8.70649,P
2.0,3.0,3.0,8.0,10282.0,140.0,120800.0,11.0,2.397895,9.23815,11.701892,N
3.0,4.0,0.0,7.0,16319.0,135.0,22213.0,11.0,2.397895,9.700085,10.008433,N
2.0,3.0,2.0,7.0,29008.0,58.0,8661.0,8.0,2.079442,10.275327,9.066585,P
0.0,4.0,3.0,7.0,2538.0,53.0,8800.0,6.0,1.791759,7.839132,9.082507,P
2.0,3.0,1.0,6.0,5270.0,110.0,168917.0,6.0,1.791759,8.569786,12.037163,N
1.0,3.0,2.0,6.0,206338.0,48.0,213384.0,4.0,1.386294,12.237271,12.270849,P
1.0,2.0,3.0,6.0,95831.0,81.0,314718.0,1.0,0.0,11.470342,12.659432,P
0.0,0.0,6.0,6.0,5059.0,36.0,4590.0,2.0,0.693147,8.528924,8.431635,P
3.0,0.0,2.0,5.0,64479.0,59.0,177530.0,6.0,1.791759,11.074095,12.086895,P
2.0,0.0,3.0,5.0,3694.0,68.0,8455.0,1.0,0.0,8.214465,9.042513,P
1.0,3.0,1.0,5.0,5377.0,115.0,18206.0,3.0,1.098612,8.589886,9.809506,N
1.0,1.0,3.0,5.0,30081.0,49.0,43726.0,3.0,1.098612,10.311649,10.685698,P
0.0,2.0,3.0,5.0,10141.0,70.0,268633.0,6.0,1.791759,9.224342,12.501101,P
0.0,2.0,3.0,5.0,39357.0,134.0,132455.0,5.0,1.609438,10.580429,11.793998,N
0.0,1.0,4.0,5.0,6660.0,55.0,297953.0,1.0,0.0,8.803875,12.604691,P
0.0,1.0,4.0,5.0,27377.0,60.0,34936.0,2.0,0.693147,10.217459,10.461273,P
3.0,0.0,1.0,4.0,65758.0,35.0,347600.0,3.0,1.098612,11.093737,12.758808,P
2.0,1.0,1.0,4.0,5154.0,78.0,119086.0,4.0,1.386294,8.547528,11.687601,P
1.0,1.0,2.0,4.0,23574.0,80.0,23490.0,2.0,0.693147,10.0679,10.06433,P
1.0,0.0,3.0,4.0,3796.0,165.0,57135.0,6.0,1.791759,8.241703,10.953172,N
0.0,2.0,2.0,4.0,36123.0,152.0,295131.0,3.0,1.098612,10.494685,12.595175,N
0.0,1.0,3.0,4.0,46109.0,31.0,20867.0,5.0,1.609438,10.738763,9.945924,P
2.0,1.0,0.0,3.0,8140.0,97.0,226510.0,3.0,1.098612,9.004545,12.330544,P
2.0,0.0,1.0,3.0,7669.0,31.0,3642.0,1.0,0.0,8.944942,8.200288,P
1.0,1.0,1.0,3.0,2424.0,48.0,5730.0,1.0,0.0,7.793174,8.653471,P
1.0,1.0,1.0,3.0,10635.0,121.0,20039.0,4.0,1.386294,9.271906,9.905436,N
1.0,0.0,2.0,3.0,60300.0,59.0,177476.0,2.0,0.693147,11.007087,12.086591,P
0.0,3.0,0.0,3.0,106409.0,91.0,27599.0,6.0,1.791759,11.575045,10.225535,P
2.0,0.0,0.0,2.0,1993.0,90.0,18390.0,2.0,0.693147,7.597396,9.819562,P
1.0,1.0,0.0,2.0,296.0,28.0,3391.0,1.0,0.0,5.690359,8.12888,P
1.0,0.0,1.0,2.0,4784.0,113.0,181130.0,2.0,0.693147,8.473032,12.10697,N
0.0,1.0,1.0,2.0,1283.0,23.0,5017.0,2.0,0.693147,7.156956,8.520587,P
0.0,1.0,1.0,2.0,4378.0,34.0,2542.0,2.0,0.693147,8.384347,7.840706,P
0.0,0.0,2.0,2.0,3841.0,7.0,9081.0,1.0,0.0,8.253488,9.11394,P
0.0,0.0,2.0,2.0,9869.0,85.0,100934.0,2.0,0.693147,9.197154,11.522222,P
1.0,0.0,0.0,1.0,18880.0,5.0,1472.0,1.0,0.0,9.845858,7.294377,P
0.0,1.0,0.0,1.0,3681.0,78.0,73700.0,4.0,1.386294,8.21094,11.207758,P
0.0,0.0,1.0,1.0,3536.0,28.0,2387.0,2.0,0.693147,8.170751,7.777793,P
0.0,0.0,1.0,1.0,5984.0,40.0,90310.0,1.0,0.0,8.696845,11.411003,P
0.0,0.0,1.0,1.0,982223.0,78.0,357759.0,1.0,0.0,13.797574,12.787615,P
,,,,,,,,,,,N
,,,,,,,,,,,N
,,,,,,,,,,,N
,,,,,,,,,,,P
,,,,,,,,,,,N
,,,,,,,,,,,N
4.753107495965845,5.753107495965845,6.941384369957307,17.447599361888997,14392.664612310797,182.82323955185154,289082.31052733975,16.853460924893266,2.2395051685844183,8.88073638277852,11.234286980609898,P
9.044545807126958,8.222314370115416,5.933388622069249,23.200248799311623,48851.64118801709,296.8696799027741,947746.7724725831,12.68900868115004,2.349863589128866,10.480049658204692,12.858636496825715,N
0.2603726746915963,0.2603726746915963,2.260372674691596,2.7811180240747886,10673.178983907488,17.935652337047046,18101.61131469035,1.5207453493831926,0.28604854488828396,8.789376884515931,9.523182834427914,P
0.49299956582032567,0.5070004341796743,1.4929995658203257,2.492999565820326,31947.521719804252,46.32498914550814,88784.38604721286,2.0,0.693147,9.6773566812596,9.933925461523033,P
2.7635775787392602,8.936099104326672,8.817887893696302,20.517564576762236,44883.65013447535,221.99353366131865,54105.31864301555,20.399353366131866,2.7648434583357395,10.228478831969277,10.675639454948843,P
4.975407377720215,7.774074027687836,5.975407377720215,18.724888783128264,9882.231680443787,231.24222108112076,176599.73400364612,13.438518444300536,1.1547833454059508,9.048159136866746,11.847687353394397,P
0.7039363815470776,4.81574552618831,2.2960636184529224,7.81574552618831,8140.412803643206,101.67713716961849,300377.715062247,6.703936381547077,1.9002714971518637,8.992853224864625,12.610340663434002,P
0.9648349954356672,0.5175825022821664,1.0,2.4824174977178335,5965.635984989391,32.5527475068465,3072.659247489617,1.5175825022821665,0.3587607587093768,8.654787837133128,8.014174648664374,P
0.0,1.0436448084521985,5.217266393660851,6.26091120211305,4401.242859473002,40.43549043592184,5688.436160895939,3.0436448084521985,0.9797871775758217,8.348949540072034,8.601454795941725,P
0.617070693890664,6.424236102049831,6.424236102049831,13.465542897990327,165495.85653220673,211.05226630622982,702773.1208874163,15.925606040835996,2.73572340302319,12.016575163302901,13.459144699570675,N
0.4768999494403646,0.5231000505596354,1.430699848321094,2.430699848321094,3735.843494185642,119.49029560131171,65800.15233752035,4.953799898880729,1.5796602379998375,8.225610873144634,11.086345949471776,N
12.375299486894235,12.750598973788469,9.750598973788469,34.876497434471176,58672.3800912772,357.75059897378844,1414462.6870794366,30.12829435583658,3.328906948566612,10.979724149201456,14.15380476607254,N
13.208664489029868,12.748013065820794,11.417328978059736,37.3740065329104,58408.81486141476,370.26788240761283,1451585.686105243,36.582671021940264,3.59932251434461,10.97517958398143,14.181339168968112,N
