left-weight,left-distance,right-weight,right-distance,target
4.0,5.0,4.0,2.0,P
4.0,5.0,4.0,3.0,P
4.0,5.0,4.0,4.0,P
4.0,5.0,4.0,5.0,N
4.0,5.0,5.0,1.0,P
4.0,5.0,5.0,2.0,P
4.0,5.0,5.0,3.0,P
4.0,5.0,5.0,4.0,N
4.0,5.0,5.0,5.0,N
5.0,1.0,1.0,1.0,P
5.0,1.0,1.0,2.0,P
5.0,1.0,1.0,3.0,P
5.0,1.0,1.0,4.0,P
5.0,1.0,1.0,5.0,N
5.0,1.0,2.0,1.0,P
5.0,1.0,2.0,2.0,P
5.0,1.0,2.0,3.0,N
5.0,1.0,2.0,4.0,N
5.0,1.0,2.0,5.0,N
5.0,1.0,3.0,1.0,P
5.0,1.0,3.0,2.0,N
5.0,1.0,3.0,3.0,N
5.0,1.0,3.0,4.0,N
5.0,1.0,3.0,5.0,N
5.0,1.0,4.0,1.0,P
5.0,1.0,4.0,2.0,N
5.0,1.0,4.0,3.0,N
5.0,1.0,4.0,4.0,N
5.0,1.0,4.0,5.0,N
5.0,1.0,5.0,1.0,N
5.0,1.0,5.0,2.0,N
5.0,1.0,5.0,3.0,N
5.0,1.0,5.0,4.0,N
5.0,1.0,5.0,5.0,N
5.0,2.0,1.0,1.0,P
5.0,2.0,1.0,2.0,P
5.0,2.0,1.0,3.0,P
5.0,2.0,1.0,4.0,P
5.0,2.0,1.0,5.0,P
5.0,2.0,2.0,1.0,P
5.0,2.0,2.0,2.0,P
5.0,2.0,2.0,3.0,P
5.0,2.0,2.0,4.0,P
5.0,2.0,2.0,5.0,N
5.0,2.0,3.0,1.0,P
5.0,2.0,3.0,2.0,P
5.0,2.0,3.0,3.0,P
5.0,2.0,3.0,4.0,N
5.0,2.0,3.0,5.0,N
5.0,2.0,4.0,1.0,P
5.0,2.0,4.0,2.0,P
5.0,2.0,4.0,3.0,N
5.0,2.0,4.0,4.0,N
5.0,2.0,4.0,5.0,N
5.0,2.0,5.0,1.0,P
5.0,2.0,5.0,2.0,N
5.0,2.0,5.0,3.0,N
5.0,2.0,5.0,4.0,N
5.0,2.0,5.0,5.0,N
5.0,3.0,1.0,1.0,P
5.0,3.0,1.0,2.0,P
5.0,3.0,1.0,3.0,P
5.0,3.0,1.0,4.0,P
5.0,3.0,1.0,5.0,P
5.0,3.0,2.0,1.0,P
5.0,3.0,2.0,2.0,P
5.0,3.0,2.0,3.0,P
5.0,3.0,2.0,4.0,P
5.0,3.0,2.0,5.0,P
5.0,3.0,3.0,1.0,P
5.0,3.0,3.0,2.0,P
5.0,3.0,3.0,3.0,P
5.0,3.0,3.0,4.0,P
5.0,3.0,3.0,5.0,N
5.0,3.0,4.0,1.0,P
5.0,3.0,4.0,2.0,P
5.0,3.0,4.0,3.0,P
5.0,3.0,4.0,4.0,N
5.0,3.0,4.0,5.0,N
5.0,3.0,5.0,1.0,P
5.0,3.0,5.0,2.0,P
5.0,3.0,5.0,3.0,N
5.0,3.0,5.0,4.0,N
5.0,3.0,5.0,5.0,N
5.0,4.0,1.0,1.0,P
5.0,4.0,1.0,2.0,P
5.0,4.0,1.0,3.0,P
5.0,4.0,1.0,4.0,P
5.0,4.0,1.0,5.0,P
5.0,4.0,2.0,1.0,P
5.0,4.0,2.0,2.0,P
5.0,4.0,2.0,3.0,P
5.0,4.0,2.0,4.0,P
5.0,4.0,2.0,5.0,P
5.0,4.0,3.0,1.0,P
5.0,4.0,3.0,2.0,P
5.0,4.0,3.0,3.0,P
5.0,4.0,3.0,4.0,P
5.0,4.0,3.0,5.0,P
5.0,4.0,4.0,1.0,P
5.0,4.0,4.0,2.0,P
5.0,4.0,4.0,3.0,P
5.0,4.0,4.0,4.0,P
5.0,4.0,4.0,5.0,N
5.0,4.0,5.0,1.0,P
5.0,4.0,5.0,2.0,P
5.0,4.0,5.0,3.0,P
5.0,4.0,5.0,4.0,N
5.0,4.0,5.0,5.0,N
5.0,5.0,1.0,1.0,P
5.0,5.0,1.0,2.0,P
5.0,5.0,1.0,3.0,P
5.0,5.0,1.0,4.0,P
5.0,5.0,1.0,5.0,P
5.0,5.0,2.0,1.0,P
5.0,5.0,2.0,2.0,P
5.0,5.0,2.0,3.0,P
5.0,5.0,2.0,4.0,P
5.0,5.0,2.0,5.0,P
5.0,5.0,3.0,1.0,P
5.0,5.0,3.0,2.0,P
5.0,5.0,3.0,3.0,P
5.0,5.0,3.0,4.0,P
5.0,5.0,3.0,5.0,P
5.0,5.0,4.0,1.0,P
5.0,5.0,4.0,2.0,P
5.0,5.0,4.0,3.0,P
5.0,5.0,4.0,4.0,P
5.0,5.0,4.0,5.0,P
5.0,5.0,5.0,1.0,P
5.0,5.0,5.0,2.0,P
5.0,5.0,5.0,3.0,P
5.0,5.0,5.0,4.0,P
5.0,5.0,5.0,5.0,N
,,,,N
,,,,P
,,,,P
,,,,P
,,,,P
,,,,N
,,,,P
,,,,N
,,,,N
,,,,N
,,,,N
,,,,N
,,,,P
,,,,P
,,,,N
,,,,P
,,,,N
,,,,N
,,,,N
,,,,N
,,,,P
,,,,P
,,,,N
,,,,P
,,,,N
,,,,P
,,,,N
,,,,P
,,,,N
,,,,N
,,,,N
,,,,N
,,,,P
,,,,P
,,,,P
,,,,N
,,,,N
,,,,P
,,,,P
,,,,N
,,,,N
,,,,P
,,,,P
,,,,N
,,,,N
,,,,P
,,,,N
,,,,P
,,,,P
,,,,P
,,,,N
,,,,N
,,,,P
,,,,P
,,,,P
,,,,N
,,,,P
,,,,N
,,,,N
,,,,N
,,,,P
,,,,N
2.0,3.9767460757952335,3.0232539242047665,1.0348808863071497,P
5.0,4.019443935894828,2.0388878717896572,1.9805560641051714,P
5.0,3.13201658166021,2.2453222788931932,2.0,P
4.992567837455226,3.0037160812723873,2.011148243817162,3.9962839187276127,N
3.585977523972929,3.0,4.0,3.828044952054143,N
2.0,1.5210369279005382,3.6092223040745965,1.1302592319751346,P
2.4007482878146678,1.9338321918764452,3.5330839040617774,2.0,P
1.5740433313436384,3.0,4.712978334328181,3.5740433313436384,N
4.3512149963154485,2.3512149963154485,1.6756074981577243,3.0268224944731728,P
2.2127315860325747,3.7872684139674253,3.7872684139674253,1.8509263441302988,P
2.3028324551172545,3.954248682675882,4.651416227558627,4.348583772441373,N
2.9143249922702665,2.4357437442027,2.4357437442027,2.0428375038648667,P
3.1119109098148146,2.223821819629629,1.2238218196296293,3.0,P
1.0362764984689792,2.036276498468979,3.0,2.0181382492344895,P
3.906464918742641,3.093535081257359,4.364511693752453,3.729023387504906,N
2.0,3.9854122897084174,3.5072938551457913,5.0,N
2.4872880631413756,2.4872880631413756,2.743644031570688,3.7436440315706876,N
5.0,2.0,3.9736006992874118,2.256599825178147,N
2.562102037753629,2.1242040755072575,1.4378979622463712,1.0,P
4.821704906211757,2.643409812423515,1.534885281364728,3.821704906211757,P
1.1294144887705166,4.0,3.0,4.870585511229484,P
3.5579232957215616,2.4420767042784384,4.0,1.5579232957215616,P
3.9689694594402516,2.093091621679246,4.0,3.906908378320754,P
3.58541097623082,3.58541097623082,1.82917804753836,5.0,P
1.7843010301705844,4.411774227372062,2.392150515085292,3.411774227372062,N
1.988887875946019,3.988887875946019,2.0,4.98888787594602,N
3.0,4.147198287673966,4.147198287673966,3.2943965753479327,P
2.5826107732390415,3.7913053866195208,2.186958079929281,2.2086946133804792,N
4.78201657583609,2.07266114138797,2.8546777172240594,4.85467771722406,N
4.565661118050725,2.4343388819492753,1.8552203726835748,5.0,N
4.128115749018104,3.7437685019637916,4.487537003927583,4.871884250981896,P
2.959125424668039,4.04087457533196,3.959125424668039,3.8773762740041176,N
4.596049447163292,2.4039505528367084,2.7306996314421945,4.0,P
1.672463763455752,4.831884059136062,2.168115940863938,1.0,P
3.160901783633884,2.839098216366117,4.0,3.080450891816942,N
3.7898352563444684,2.789835256344468,1.8949176281722342,4.684752884516702,P
4.888358525030305,1.9627861750101019,2.111641474969695,3.037213824989898,P
2.144523140644718,3.716784710967077,3.716784710967077,2.7109537187105643,P
2.3753629771891225,4.249274045621754,3.8739110684326317,3.249274045621754,P
1.3891268816635092,3.7782537633270183,3.4434924733459633,3.7782537633270183,N
4.254454825838985,2.5591588806207617,3.627227412919492,3.813613706459746,N
1.7202226400143092,1.8393320799570723,3.4404452800286185,3.2797773599856908,N
4.0,3.6143608196820063,4.228721639364013,4.0,P
3.0,2.367047416250818,3.0,3.7340948325016363,N
1.8028828737212526,4.267627624573751,5.0,3.732372375426249,N
2.1800689895428844,5.0,2.5402069686286533,4.639862020914231,N
5.0,2.0004774770455263,3.0,3.9995225229544737,P
4.380055087587618,5.0,3.4797796496495303,2.140165262762852,P
2.632479589793781,1.0,2.632479589793781,1.1837602051031093,N
2.7749264318671836,1.8874632159335916,4.887463215933591,2.887463215933592,N
1.969861924903969,4.353425383397354,5.0,2.3534253833973535,P
3.51167075236705,3.0233415047341,2.53501225710115,4.0233415047341,P
2.7328620940514843,4.133568952974258,3.5992931410772266,1.534275811897031,N
2.7704499873170225,1.4591000253659554,4.655674980975534,4.114775006341489,N
3.9356670631285775,1.25733174748569,4.0643329368714225,3.9356670631285775,N
3.280520593153703,3.280520593153703,3.853680395435802,3.146319604564198,N
3.877615992012637,4.755231984025274,1.3671520239620898,2.122384007987363,P
5.0,3.9972746802669237,2.0009084399110253,1.0009084399110253,P
4.528532379767681,3.585597139303042,2.5285323797676806,4.528532379767681,P
5.0,3.0,3.8082231499690407,2.60274104998968,P
2.0,3.811267649096206,4.702816912274051,3.108450736822155,N
1.3057745370700296,3.541338194394956,1.611549074140059,1.1528872685350149,P
1.0,2.0,1.0619916293532308,4.0,N
1.0,4.0,1.278650543357514,4.0,N
5.0,1.8545892138211482,2.0,5.0,N
4.0,3.8055697259387893,2.0,1.0,P
3.0,1.0,1.8956166727168366,5.0,N
1.0,3.3010464307508403,5.0,2.0,N
3.0,5.0,4.202310455398745,5.0,N
3.0,4.0,5.0,3.9840291913187595,N
3.178966077341705,2.0,4.0,5.0,N
4.0,5.0,1.077549465908854,5.0,P
2.0,3.0,1.8792299722839072,4.0,N
4.0,1.0,1.4443147836965442,2.0,N
5.0,2.030634353224262,2.0,3.0,P
5.0,2.100874638093822,5.0,4.0,N
4.0,3.0,4.0,3.667523399271056,N
2.991624340528114,1.0,5.0,2.0,N
5.0,2.0,5.0,1.2154678390201197,N
4.0,2.6283430760051996,3.0,1.0,P
2.0,3.0,3.7405393084865404,2.0,N
3.0,2.0,1.8617030047751066,4.0,P
5.0,4.435762098387525,2.0,5.0,P
1.0,4.0,4.120310673423309,5.0,N
3.0,2.0,3.1798797677634187,5.0,N
2.0,3.0,5.0,2.0359283859752813,N
1.0,1.0,4.815616738082095,5.0,N
2.0,5.0,2.860090805682109,2.0,P
3.0,5.0,5.0,3.646389761405869,N
1.0,5.0,3.0,4.612062823915313,N
1.0,3.0,5.0,3.721072640922904,N
1.0,4.0,5.0,4.316410475650157,N
2.0,4.0,2.69878759387731,1.0,P
4.0,1.0,3.0,3.937088362830781,N
5.0,4.072851703883471,2.0,4.0,P
2.0,4.266787886875003,5.0,3.0,N
1.0,1.5922376697363427,3.0,4.0,N
2.0,2.0,5.0,1.1736065041966952,N
2.0,3.0,3.0,3.7389809649640697,N
2.0,2.0,3.49866549368755,4.0,N
4.0,1.970663052265856,3.0,4.0,N
5.0,5.0,3.0,3.852702134498512,P
2.0,1.0,5.0,4.339940441186512,N
5.0,1.3433082416585929,4.0,2.0,P
5.0,1.0,4.0,2.5327127200558204,N
4.284324569358254,5.0,4.0,3.0,P
4.0,3.1151228981639596,4.0,2.0,P
1.0,3.7748917182733814,5.0,1.0,N
1.4609482601293302,1.0,5.0,3.0,N
1.0,1.0,1.0,2.16940098342267,N
3.0,3.0532957846900017,5.0,5.0,N
2.0,4.0,5.0,3.088734729860466,N
1.0,4.0,1.7200229733376222,2.0,N
3.0,5.0,1.0,1.8383721500665122,P
3.0,2.0,2.6405690380470133,2.0,P
2.0,4.2380193881296995,4.0,5.0,N
3.0,1.0,3.0,2.6381482115881156,N
4.0,5.0,2.994071833184954,4.0,P
1.0,1.0,1.703326384656573,3.0,N
5.0,5.0,1.7481562471178806,1.0,P
2.913433523817145,1.0,2.0,4.0,N
2.0,4.0,5.0,4.233795665072542,N
1.0,5.0,3.0912814651879117,5.0,N
3.0,2.0,1.1946548515664563,2.0,P
1.0,1.0,4.4134276991244485,3.0,N
