Wifes_age,Wifes_education,Husbands_education,Number_of_children_ever_born,Wifes_religion,Wifes_now_working?,Husbands_occupation,Standard-of-living_index,Media_exposure,target
25.0,2.0,4.0,1.0,1.0,1.0,2.0,2.0,0.0,P
42.0,1.0,3.0,12.0,1.0,1.0,3.0,3.0,0.0,P
48.0,2.0,1.0,3.0,1.0,0.0,4.0,3.0,0.0,P
35.0,3.0,4.0,5.0,1.0,0.0,2.0,2.0,0.0,P
33.0,2.0,3.0,1.0,1.0,1.0,3.0,4.0,0.0,P
20.0,2.0,4.0,0.0,1.0,1.0,3.0,2.0,0.0,P
36.0,2.0,3.0,4.0,1.0,1.0,3.0,1.0,1.0,P
19.0,3.0,3.0,2.0,1.0,1.0,3.0,2.0,0.0,P
27.0,3.0,2.0,3.0,1.0,1.0,3.0,2.0,0.0,P
30.0,1.0,2.0,4.0,1.0,1.0,4.0,1.0,0.0,P
31.0,3.0,4.0,3.0,1.0,0.0,3.0,2.0,0.0,P
44.0,1.0,1.0,11.0,1.0,1.0,4.0,1.0,1.0,P
24.0,3.0,3.0,2.0,1.0,1.0,3.0,3.0,0.0,P
18.0,3.0,4.0,0.0,1.0,0.0,3.0,1.0,0.0,P
45.0,1.0,2.0,6.0,1.0,1.0,3.0,3.0,1.0,P
25.0,2.0,2.0,3.0,1.0,0.0,3.0,1.0,0.0,P
36.0,3.0,4.0,6.0,1.0,1.0,2.0,4.0,0.0,P
30.0,1.0,1.0,5.0,1.0,1.0,2.0,2.0,0.0,P
32.0,2.0,4.0,2.0,1.0,1.0,3.0,3.0,0.0,P
42.0,1.0,4.0,11.0,0.0,1.0,2.0,2.0,1.0,P
22.0,2.0,4.0,0.0,1.0,1.0,3.0,3.0,0.0,P
36.0,2.0,4.0,2.0,1.0,0.0,2.0,4.0,0.0,P
27.0,2.0,3.0,2.0,1.0,1.0,3.0,3.0,0.0,P
40.0,3.0,4.0,1.0,1.0,1.0,1.0,2.0,0.0,P
22.0,2.0,3.0,2.0,1.0,1.0,3.0,1.0,0.0,P
26.0,2.0,4.0,0.0,1.0,1.0,3.0,1.0,0.0,P
31.0,3.0,4.0,0.0,1.0,0.0,2.0,3.0,0.0,P
32.0,4.0,4.0,1.0,1.0,1.0,1.0,4.0,0.0,P
34.0,2.0,3.0,3.0,1.0,0.0,3.0,2.0,0.0,P
40.0,3.0,3.0,1.0,0.0,1.0,3.0,4.0,0.0,P
45.0,1.0,2.0,1.0,1.0,0.0,3.0,3.0,0.0,P
26.0,3.0,4.0,3.0,1.0,1.0,3.0,2.0,0.0,P
48.0,1.0,3.0,5.0,1.0,1.0,3.0,2.0,0.0,P
43.0,1.0,3.0,8.0,1.0,1.0,3.0,1.0,0.0,P
27.0,3.0,4.0,2.0,1.0,0.0,2.0,2.0,0.0,P
42.0,3.0,2.0,1.0,1.0,1.0,3.0,3.0,0.0,P
34.0,3.0,2.0,8.0,1.0,0.0,2.0,3.0,1.0,P
32.0,3.0,2.0,4.0,1.0,1.0,2.0,2.0,1.0,P
31.0,3.0,3.0,2.0,1.0,0.0,2.0,3.0,0.0,P
22.0,2.0,3.0,1.0,1.0,1.0,3.0,3.0,0.0,P
27.0,3.0,4.0,0.0,1.0,1.0,3.0,3.0,0.0,P
37.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,P
22.0,1.0,2.0,0.0,1.0,1.0,2.0,4.0,0.0,P
47.0,4.0,4.0,4.0,1.0,1.0,1.0,4.0,0.0,P
32.0,4.0,4.0,4.0,1.0,0.0,1.0,3.0,0.0,P
37.0,3.0,3.0,2.0,1.0,1.0,1.0,4.0,0.0,P
45.0,1.0,3.0,1.0,1.0,1.0,2.0,3.0,1.0,P
47.0,1.0,4.0,8.0,1.0,1.0,3.0,3.0,0.0,P
28.0,3.0,4.0,0.0,1.0,1.0,3.0,2.0,0.0,P
48.0,1.0,3.0,4.0,1.0,1.0,3.0,4.0,1.0,P
26.0,2.0,4.0,1.0,1.0,1.0,1.0,3.0,0.0,P
21.0,3.0,4.0,0.0,1.0,0.0,3.0,1.0,0.0,P
20.0,2.0,3.0,1.0,1.0,1.0,2.0,4.0,0.0,P
39.0,1.0,1.0,5.0,1.0,0.0,3.0,1.0,1.0,P
27.0,2.0,3.0,1.0,1.0,0.0,3.0,4.0,0.0,P
37.0,2.0,3.0,5.0,1.0,0.0,3.0,2.0,0.0,P
24.0,4.0,4.0,1.0,1.0,1.0,3.0,3.0,0.0,P
39.0,3.0,3.0,6.0,1.0,1.0,3.0,3.0,0.0,P
20.0,3.0,3.0,1.0,1.0,1.0,2.0,3.0,0.0,P
19.0,3.0,4.0,1.0,1.0,1.0,2.0,3.0,0.0,P
40.0,3.0,3.0,4.0,1.0,1.0,2.0,2.0,0.0,P
41.0,1.0,4.0,4.0,1.0,1.0,3.0,3.0,0.0,P
22.0,4.0,4.0,2.0,1.0,1.0,1.0,3.0,0.0,P
32.0,3.0,4.0,4.0,1.0,1.0,1.0,4.0,0.0,P
34.0,4.0,4.0,2.0,0.0,1.0,1.0,4.0,0.0,P
34.0,4.0,4.0,2.0,1.0,0.0,1.0,3.0,0.0,P
23.0,4.0,4.0,2.0,1.0,1.0,1.0,4.0,0.0,P
27.0,4.0,4.0,1.0,1.0,1.0,1.0,2.0,0.0,P
46.0,3.0,2.0,11.0,1.0,0.0,2.0,2.0,1.0,P
34.0,4.0,4.0,3.0,0.0,1.0,1.0,2.0,0.0,P
33.0,4.0,4.0,5.0,1.0,1.0,3.0,3.0,0.0,P
25.0,3.0,3.0,1.0,1.0,1.0,3.0,2.0,0.0,P
26.0,4.0,4.0,1.0,1.0,0.0,1.0,4.0,0.0,P
48.0,1.0,3.0,4.0,1.0,1.0,3.0,3.0,1.0,P
36.0,4.0,4.0,2.0,1.0,1.0,3.0,3.0,0.0,P
38.0,3.0,4.0,2.0,0.0,1.0,2.0,4.0,0.0,P
44.0,1.0,2.0,7.0,1.0,1.0,3.0,4.0,0.0,P
44.0,2.0,2.0,1.0,1.0,0.0,3.0,2.0,0.0,P
39.0,3.0,3.0,1.0,0.0,1.0,3.0,4.0,0.0,P
47.0,1.0,2.0,7.0,1.0,0.0,3.0,2.0,0.0,P
43.0,1.0,3.0,5.0,1.0,0.0,3.0,2.0,0.0,P
29.0,3.0,3.0,3.0,1.0,0.0,2.0,4.0,0.0,P
22.0,3.0,3.0,0.0,1.0,1.0,2.0,2.0,0.0,P
31.0,2.0,4.0,5.0,1.0,1.0,3.0,2.0,0.0,P
22.0,4.0,4.0,0.0,1.0,1.0,1.0,3.0,0.0,P
45.0,3.0,4.0,6.0,1.0,1.0,2.0,4.0,0.0,P
42.0,3.0,4.0,10.0,1.0,0.0,3.0,2.0,0.0,P
38.0,3.0,3.0,7.0,1.0,1.0,3.0,1.0,0.0,P
47.0,1.0,1.0,6.0,1.0,0.0,3.0,1.0,0.0,P
30.0,4.0,4.0,2.0,1.0,1.0,1.0,4.0,0.0,P
28.0,3.0,4.0,1.0,1.0,1.0,3.0,4.0,0.0,P
25.0,3.0,4.0,1.0,1.0,1.0,2.0,1.0,0.0,P
49.0,2.0,4.0,6.0,0.0,1.0,2.0,3.0,0.0,P
23.0,3.0,4.0,2.0,1.0,0.0,2.0,3.0,0.0,P
35.0,3.0,4.0,1.0,0.0,1.0,2.0,3.0,0.0,P
47.0,2.0,1.0,5.0,0.0,1.0,2.0,4.0,0.0,P
35.0,2.0,3.0,0.0,1.0,1.0,2.0,4.0,0.0,P
44.0,3.0,4.0,6.0,1.0,1.0,3.0,4.0,0.0,P
48.0,4.0,4.0,3.0,1.0,1.0,2.0,4.0,0.0,P
43.0,2.0,3.0,6.0,1.0,0.0,3.0,3.0,0.0,P
21.0,2.0,4.0,2.0,1.0,1.0,3.0,1.0,0.0,P
22.0,4.0,4.0,0.0,1.0,1.0,1.0,4.0,0.0,P
41.0,3.0,3.0,5.0,1.0,1.0,3.0,4.0,0.0,P
29.0,2.0,4.0,2.0,1.0,0.0,4.0,4.0,1.0,P
44.0,4.0,4.0,5.0,0.0,1.0,2.0,4.0,0.0,P
22.0,4.0,4.0,0.0,1.0,0.0,1.0,4.0,0.0,P
23.0,2.0,4.0,4.0,1.0,1.0,3.0,3.0,0.0,P
22.0,2.0,1.0,0.0,1.0,1.0,3.0,2.0,0.0,P
35.0,1.0,3.0,0.0,1.0,1.0,2.0,2.0,1.0,P
24.0,4.0,4.0,1.0,1.0,1.0,2.0,2.0,0.0,P
36.0,4.0,4.0,4.0,1.0,1.0,1.0,4.0,0.0,P
47.0,1.0,2.0,2.0,1.0,1.0,2.0,4.0,0.0,P
40.0,4.0,4.0,3.0,1.0,1.0,3.0,4.0,0.0,P
29.0,4.0,4.0,1.0,1.0,1.0,1.0,3.0,0.0,P
49.0,3.0,4.0,6.0,1.0,1.0,1.0,4.0,0.0,P
49.0,3.0,4.0,9.0,1.0,1.0,1.0,4.0,0.0,P
47.0,4.0,4.0,2.0,1.0,1.0,1.0,4.0,0.0,P
28.0,4.0,4.0,3.0,0.0,1.0,1.0,4.0,0.0,P
26.0,4.0,4.0,1.0,1.0,1.0,1.0,4.0,0.0,P
29.0,1.0,2.0,7.0,1.0,1.0,2.0,4.0,0.0,P
29.0,4.0,2.0,0.0,1.0,0.0,2.0,2.0,0.0,P
25.0,3.0,3.0,1.0,1.0,1.0,3.0,4.0,0.0,P
24.0,2.0,4.0,2.0,1.0,1.0,3.0,4.0,0.0,P
23.0,4.0,4.0,1.0,1.0,0.0,2.0,4.0,0.0,P
23.0,4.0,4.0,2.0,1.0,0.0,3.0,3.0,0.0,P
44.0,1.0,2.0,2.0,1.0,1.0,2.0,4.0,0.0,P
39.0,3.0,4.0,6.0,1.0,1.0,1.0,4.0,0.0,P
21.0,3.0,3.0,0.0,1.0,1.0,2.0,2.0,0.0,P
22.0,3.0,4.0,2.0,1.0,1.0,2.0,3.0,0.0,P
47.0,3.0,4.0,3.0,1.0,1.0,2.0,3.0,0.0,P
36.0,3.0,3.0,2.0,1.0,0.0,2.0,4.0,0.0,P
25.0,1.0,4.0,2.0,1.0,0.0,3.0,3.0,1.0,P
40.0,4.0,4.0,2.0,1.0,1.0,3.0,4.0,0.0,P
36.0,2.0,2.0,0.0,0.0,0.0,3.0,3.0,0.0,P
37.0,2.0,3.0,5.0,0.0,0.0,2.0,4.0,0.0,P
28.0,1.0,4.0,2.0,1.0,0.0,2.0,3.0,0.0,P
30.0,3.0,3.0,5.0,1.0,0.0,3.0,4.0,0.0,P
16.0,3.0,4.0,1.0,1.0,1.0,3.0,3.0,0.0,P
32.0,2.0,3.0,4.0,0.0,1.0,2.0,4.0,0.0,P
40.0,4.0,4.0,3.0,0.0,1.0,3.0,4.0,0.0,P
40.0,1.0,1.0,2.0,1.0,0.0,3.0,4.0,0.0,P
45.0,3.0,4.0,2.0,0.0,1.0,1.0,4.0,0.0,P
21.0,1.0,3.0,0.0,1.0,0.0,3.0,4.0,1.0,P
28.0,4.0,4.0,1.0,0.0,1.0,1.0,3.0,0.0,P
25.0,4.0,4.0,1.0,0.0,1.0,2.0,3.0,0.0,P
44.0,1.0,3.0,4.0,1.0,1.0,3.0,3.0,1.0,P
35.0,4.0,4.0,2.0,0.0,1.0,3.0,4.0,0.0,P
49.0,4.0,4.0,4.0,1.0,1.0,3.0,4.0,0.0,P
39.0,3.0,4.0,1.0,0.0,1.0,3.0,4.0,0.0,P
32.0,3.0,4.0,1.0,0.0,1.0,2.0,4.0,0.0,P
35.0,1.0,2.0,0.0,1.0,0.0,4.0,4.0,0.0,P
21.0,1.0,2.0,1.0,1.0,0.0,3.0,4.0,0.0,P
47.0,4.0,4.0,1.0,0.0,1.0,1.0,4.0,0.0,P
27.0,4.0,4.0,1.0,0.0,1.0,3.0,4.0,0.0,P
31.0,2.0,2.0,8.0,1.0,1.0,2.0,2.0,1.0,P
34.0,4.0,3.0,0.0,0.0,0.0,3.0,3.0,0.0,P
30.0,4.0,4.0,3.0,1.0,0.0,2.0,4.0,0.0,P
25.0,4.0,4.0,0.0,1.0,0.0,2.0,4.0,0.0,P
28.0,3.0,4.0,3.0,1.0,1.0,2.0,1.0,0.0,P
30.0,2.0,3.0,4.0,1.0,0.0,3.0,2.0,0.0,P
42.0,3.0,3.0,8.0,1.0,1.0,4.0,3.0,0.0,P
23.0,4.0,4.0,0.0,0.0,1.0,2.0,4.0,0.0,P
45.0,3.0,4.0,3.0,0.0,1.0,3.0,4.0,0.0,P
21.0,4.0,4.0,1.0,1.0,1.0,3.0,3.0,0.0,P
28.0,4.0,4.0,1.0,0.0,1.0,2.0,4.0,0.0,P
33.0,4.0,4.0,1.0,0.0,0.0,3.0,4.0,0.0,P
32.0,1.0,2.0,4.0,1.0,1.0,3.0,2.0,1.0,P
25.0,2.0,2.0,3.0,1.0,1.0,3.0,3.0,0.0,P
25.0,3.0,3.0,1.0,1.0,1.0,3.0,1.0,0.0,P
19.0,2.0,2.0,2.0,1.0,1.0,3.0,1.0,0.0,P
40.0,1.0,2.0,6.0,1.0,1.0,3.0,1.0,1.0,P
24.0,2.0,2.0,2.0,1.0,1.0,3.0,1.0,1.0,P
32.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,0.0,P
35.0,2.0,3.0,8.0,1.0,1.0,3.0,2.0,0.0,P
27.0,2.0,2.0,1.0,1.0,0.0,3.0,2.0,1.0,P
23.0,2.0,4.0,2.0,1.0,1.0,1.0,4.0,0.0,P
22.0,2.0,4.0,4.0,1.0,1.0,3.0,4.0,0.0,P
49.0,2.0,3.0,0.0,1.0,1.0,1.0,2.0,0.0,P
25.0,2.0,3.0,0.0,1.0,1.0,2.0,4.0,0.0,P
18.0,3.0,4.0,1.0,1.0,1.0,3.0,1.0,0.0,P
43.0,3.0,3.0,4.0,1.0,1.0,2.0,4.0,0.0,P
37.0,1.0,3.0,0.0,1.0,1.0,3.0,4.0,0.0,P
30.0,2.0,3.0,2.0,1.0,0.0,2.0,4.0,0.0,P
29.0,3.0,2.0,0.0,1.0,1.0,2.0,2.0,0.0,P
20.0,2.0,3.0,3.0,1.0,1.0,3.0,4.0,0.0,P
42.0,3.0,3.0,3.0,1.0,0.0,2.0,4.0,0.0,P
