Wifes_age,Wifes_education,Husbands_education,Number_of_children_ever_born,Wifes_religion,Wifes_now_working?,Husbands_occupation,Standard-of-living_index,Media_exposure,target
28.0,4.0,4.0,1.0,1.0,0.0,1.0,3.0,0.0,P
18.0,3.0,4.0,1.0,1.0,1.0,3.0,3.0,0.0,P
25.0,2.0,3.0,2.0,1.0,1.0,3.0,2.0,0.0,P
27.0,3.0,4.0,0.0,1.0,0.0,3.0,3.0,0.0,P
21.0,4.0,4.0,1.0,1.0,1.0,3.0,4.0,0.0,P
19.0,4.0,4.0,1.0,1.0,1.0,1.0,3.0,0.0,P
26.0,4.0,4.0,0.0,1.0,1.0,3.0,4.0,0.0,P
28.0,4.0,4.0,5.0,1.0,1.0,1.0,4.0,0.0,P
38.0,1.0,3.0,4.0,1.0,0.0,2.0,2.0,0.0,P
39.0,2.0,3.0,10.0,1.0,1.0,3.0,4.0,0.0,P
45.0,2.0,3.0,6.0,1.0,1.0,3.0,2.0,1.0,P
30.0,3.0,4.0,4.0,0.0,1.0,2.0,3.0,0.0,P
47.0,2.0,4.0,2.0,1.0,1.0,3.0,2.0,1.0,P
38.0,2.0,2.0,6.0,1.0,1.0,3.0,4.0,0.0,P
42.0,3.0,3.0,5.0,1.0,1.0,2.0,2.0,0.0,P
31.0,4.0,4.0,2.0,1.0,1.0,1.0,2.0,0.0,P
44.0,1.0,2.0,2.0,1.0,1.0,3.0,1.0,0.0,P
42.0,4.0,4.0,3.0,1.0,0.0,1.0,4.0,0.0,P
28.0,4.0,4.0,2.0,1.0,1.0,1.0,3.0,0.0,P
34.0,2.0,4.0,6.0,1.0,0.0,3.0,4.0,0.0,P
45.0,1.0,3.0,7.0,1.0,0.0,1.0,3.0,0.0,P
43.0,4.0,4.0,5.0,1.0,1.0,1.0,3.0,0.0,P
28.0,3.0,4.0,0.0,1.0,0.0,3.0,4.0,0.0,P
27.0,3.0,4.0,0.0,1.0,1.0,3.0,3.0,0.0,P
26.0,2.0,3.0,1.0,1.0,0.0,4.0,4.0,0.0,P
26.0,3.0,4.0,1.0,0.0,1.0,2.0,2.0,0.0,P
37.0,3.0,4.0,4.0,1.0,0.0,2.0,4.0,0.0,P
48.0,3.0,4.0,11.0,1.0,1.0,1.0,4.0,0.0,P
47.0,2.0,3.0,12.0,1.0,1.0,3.0,1.0,0.0,P
22.0,2.0,4.0,1.0,1.0,1.0,3.0,4.0,0.0,P
48.0,4.0,4.0,1.0,0.0,1.0,1.0,4.0,0.0,P
42.0,1.0,3.0,12.0,1.0,1.0,2.0,4.0,0.0,P
32.0,4.0,4.0,3.0,1.0,1.0,1.0,4.0,0.0,P
33.0,4.0,4.0,3.0,0.0,0.0,1.0,3.0,0.0,P
45.0,4.0,4.0,1.0,1.0,0.0,1.0,4.0,0.0,P
26.0,2.0,3.0,1.0,1.0,0.0,3.0,4.0,1.0,P
45.0,4.0,4.0,1.0,1.0,1.0,1.0,4.0,0.0,P
25.0,3.0,3.0,1.0,1.0,0.0,2.0,4.0,0.0,P
36.0,4.0,3.0,3.0,1.0,0.0,3.0,2.0,0.0,P
31.0,3.0,3.0,2.0,1.0,0.0,3.0,3.0,0.0,P
22.0,3.0,4.0,2.0,1.0,1.0,3.0,3.0,0.0,P
46.0,4.0,4.0,10.0,1.0,1.0,1.0,3.0,0.0,P
26.0,2.0,3.0,3.0,1.0,1.0,3.0,4.0,0.0,P
25.0,3.0,2.0,1.0,1.0,0.0,3.0,3.0,0.0,P
20.0,4.0,4.0,0.0,0.0,0.0,2.0,4.0,0.0,P
31.0,3.0,4.0,3.0,0.0,0.0,2.0,4.0,0.0,P
36.0,3.0,3.0,3.0,0.0,0.0,2.0,3.0,1.0,P
47.0,3.0,2.0,5.0,1.0,1.0,4.0,4.0,0.0,P
43.0,3.0,4.0,2.0,0.0,1.0,3.0,4.0,0.0,P
20.0,3.0,4.0,0.0,1.0,1.0,3.0,3.0,0.0,P
24.0,4.0,4.0,4.0,1.0,1.0,1.0,4.0,0.0,P
33.0,2.0,2.0,3.0,0.0,0.0,2.0,4.0,0.0,P
41.0,3.0,4.0,3.0,0.0,1.0,2.0,4.0,0.0,P
48.0,3.0,4.0,4.0,0.0,1.0,2.0,4.0,0.0,P
32.0,4.0,4.0,1.0,0.0,1.0,1.0,4.0,0.0,P
38.0,3.0,3.0,4.0,0.0,0.0,3.0,2.0,1.0,P
48.0,3.0,4.0,8.0,1.0,1.0,3.0,3.0,0.0,P
34.0,1.0,3.0,4.0,1.0,0.0,3.0,4.0,0.0,P
31.0,1.0,1.0,6.0,1.0,1.0,3.0,2.0,0.0,P
46.0,1.0,2.0,7.0,1.0,1.0,3.0,1.0,1.0,P
45.0,2.0,2.0,7.0,1.0,1.0,3.0,1.0,1.0,P
34.0,3.0,4.0,4.0,0.0,1.0,3.0,1.0,1.0,P
16.0,2.0,4.0,1.0,1.0,1.0,3.0,4.0,0.0,P
18.0,3.0,2.0,1.0,1.0,1.0,3.0,1.0,0.0,P
22.0,2.0,2.0,1.0,1.0,1.0,3.0,1.0,1.0,P
32.0,2.0,2.0,2.0,1.0,1.0,2.0,4.0,0.0,P
41.0,1.0,3.0,3.0,1.0,0.0,2.0,4.0,0.0,P
22.0,3.0,3.0,2.0,1.0,1.0,2.0,4.0,0.0,P
23.0,3.0,2.0,0.0,1.0,1.0,2.0,2.0,0.0,P
22.0,3.0,4.0,0.0,1.0,0.0,3.0,4.0,0.0,P
40.0,2.0,2.0,6.0,1.0,1.0,2.0,2.0,1.0,P
29.0,3.0,4.0,1.0,0.0,1.0,2.0,3.0,0.0,P
42.0,4.0,4.0,0.0,0.0,0.0,3.0,4.0,0.0,P
29.0,3.0,4.0,2.0,1.0,1.0,3.0,4.0,0.0,P
31.0,3.0,2.0,1.0,1.0,1.0,3.0,4.0,0.0,P
28.0,4.0,4.0,3.0,0.0,0.0,1.0,4.0,0.0,P
21.0,2.0,3.0,0.0,1.0,1.0,3.0,4.0,0.0,P
26.0,4.0,4.0,2.0,1.0,1.0,1.0,3.0,0.0,P
37.0,3.0,4.0,0.0,1.0,1.0,3.0,4.0,0.0,P
24.0,3.0,4.0,2.0,1.0,1.0,2.0,2.0,0.0,P
25.0,4.0,4.0,0.0,0.0,1.0,2.0,4.0,0.0,P
22.0,2.0,1.0,0.0,1.0,1.0,2.0,2.0,0.0,P
45.0,4.0,4.0,1.0,1.0,1.0,1.0,4.0,0.0,P
47.0,4.0,4.0,1.0,1.0,1.0,1.0,4.0,0.0,P
28.0,4.0,4.0,5.0,1.0,0.0,3.0,4.0,0.0,P
24.0,2.0,2.0,4.0,1.0,1.0,3.0,4.0,0.0,P
34.0,3.0,3.0,6.0,1.0,1.0,2.0,3.0,0.0,P
47.0,2.0,3.0,5.0,1.0,1.0,1.0,1.0,0.0,P
31.0,3.0,4.0,2.0,1.0,1.0,1.0,4.0,0.0,P
26.0,1.0,3.0,1.0,1.0,1.0,3.0,1.0,0.0,P
25.0,4.0,4.0,3.0,1.0,1.0,1.0,2.0,0.0,P
47.0,1.0,1.0,4.0,1.0,1.0,2.0,2.0,0.0,P
48.0,1.0,1.0,8.0,1.0,1.0,1.0,1.0,1.0,P
38.0,2.0,2.0,10.0,1.0,1.0,3.0,2.0,0.0,P
32.0,1.0,3.0,4.0,1.0,1.0,2.0,2.0,1.0,P
47.0,1.0,2.0,2.0,1.0,1.0,2.0,4.0,0.0,P
27.0,4.0,4.0,3.0,1.0,1.0,1.0,4.0,0.0,P
40.0,1.0,1.0,0.0,1.0,1.0,3.0,2.0,0.0,P
46.0,4.0,4.0,6.0,1.0,1.0,1.0,4.0,0.0,P
33.0,3.0,3.0,3.0,1.0,1.0,3.0,4.0,0.0,P
49.0,1.0,2.0,5.0,1.0,0.0,2.0,2.0,1.0,P
21.0,2.0,4.0,3.0,1.0,1.0,3.0,2.0,0.0,P
31.0,4.0,4.0,0.0,0.0,0.0,2.0,4.0,0.0,P
42.0,4.0,4.0,4.0,1.0,1.0,3.0,4.0,0.0,N
35.0,4.0,4.0,3.0,1.0,1.0,1.0,4.0,0.0,N
31.0,4.0,4.0,4.0,1.0,1.0,3.0,3.0,0.0,N
42.0,4.0,4.0,6.0,1.0,1.0,1.0,3.0,0.0,N
49.0,3.0,4.0,4.0,1.0,1.0,3.0,4.0,0.0,N
21.0,4.0,4.0,1.0,1.0,1.0,1.0,3.0,0.0,N
28.0,3.0,4.0,3.0,1.0,1.0,1.0,4.0,0.0,N
22.0,4.0,4.0,1.0,1.0,1.0,1.0,3.0,0.0,N
36.0,4.0,4.0,3.0,1.0,0.0,1.0,4.0,0.0,N
45.0,2.0,2.0,9.0,1.0,1.0,3.0,3.0,0.0,N
40.0,4.0,4.0,4.0,1.0,1.0,1.0,4.0,0.0,N
30.0,2.0,2.0,7.0,1.0,1.0,3.0,4.0,0.0,N
35.0,4.0,4.0,5.0,1.0,0.0,1.0,4.0,0.0,N
26.0,2.0,4.0,2.0,1.0,1.0,1.0,4.0,0.0,N
45.0,4.0,4.0,3.0,1.0,1.0,1.0,4.0,0.0,N
27.0,3.0,3.0,2.0,1.0,1.0,3.0,4.0,0.0,N
32.0,4.0,4.0,4.0,1.0,1.0,1.0,2.0,0.0,N
27.0,4.0,4.0,3.0,1.0,1.0,1.0,3.0,0.0,N
28.0,4.0,4.0,2.0,0.0,1.0,1.0,4.0,0.0,N
30.0,4.0,4.0,3.0,1.0,1.0,2.0,1.0,0.0,N
34.0,4.0,4.0,4.0,1.0,1.0,2.0,4.0,0.0,N
26.0,3.0,4.0,3.0,1.0,1.0,2.0,3.0,0.0,N
44.0,1.0,4.0,2.0,1.0,1.0,1.0,3.0,0.0,N
29.0,4.0,4.0,3.0,1.0,1.0,1.0,4.0,0.0,N
26.0,3.0,4.0,2.0,1.0,1.0,3.0,3.0,0.0,N
41.0,4.0,4.0,8.0,1.0,1.0,1.0,4.0,0.0,N
32.0,3.0,3.0,4.0,1.0,0.0,3.0,3.0,0.0,N
23.0,3.0,1.0,1.0,1.0,0.0,3.0,3.0,0.0,N
38.0,2.0,3.0,4.0,1.0,1.0,1.0,2.0,0.0,N
22.0,4.0,4.0,1.0,1.0,0.0,2.0,2.0,0.0,N
34.0,3.0,4.0,3.0,0.0,1.0,1.0,4.0,0.0,N
38.0,3.0,4.0,7.0,0.0,1.0,2.0,3.0,0.0,N
21.0,4.0,4.0,1.0,1.0,1.0,1.0,4.0,0.0,N
43.0,1.0,3.0,4.0,1.0,1.0,1.0,4.0,0.0,N
44.0,3.0,3.0,9.0,1.0,1.0,1.0,1.0,0.0,N
24.0,4.0,4.0,1.0,1.0,1.0,2.0,4.0,0.0,N
27.0,4.0,4.0,1.0,1.0,0.0,3.0,3.0,0.0,N
34.0,3.0,4.0,4.0,1.0,1.0,3.0,3.0,0.0,N
29.0,3.0,4.0,2.0,1.0,1.0,1.0,4.0,0.0,N
26.0,4.0,4.0,1.0,1.0,0.0,2.0,3.0,0.0,N
37.0,4.0,4.0,7.0,1.0,1.0,1.0,4.0,0.0,N
21.0,3.0,4.0,3.0,1.0,1.0,1.0,4.0,0.0,N
47.0,4.0,4.0,4.0,0.0,1.0,2.0,4.0,0.0,N
41.0,4.0,4.0,3.0,1.0,0.0,2.0,3.0,0.0,N
29.0,3.0,4.0,3.0,1.0,1.0,1.0,3.0,0.0,N
25.0,4.0,4.0,1.0,1.0,0.0,1.0,4.0,0.0,N
33.0,4.0,4.0,2.0,0.0,0.0,1.0,3.0,0.0,N
23.0,4.0,4.0,1.0,0.0,1.0,1.0,4.0,0.0,N
32.0,4.0,4.0,4.0,1.0,1.0,2.0,3.0,0.0,N
45.0,4.0,4.0,3.0,1.0,1.0,1.0,4.0,0.0,N
37.0,4.0,4.0,4.0,1.0,1.0,1.0,4.0,0.0,N
35.0,2.0,4.0,4.0,0.0,1.0,3.0,2.0,0.0,N
37.0,4.0,4.0,3.0,1.0,1.0,3.0,4.0,0.0,N
35.0,4.0,4.0,5.0,1.0,1.0,2.0,4.0,0.0,N
23.0,4.0,4.0,1.0,1.0,1.0,3.0,3.0,0.0,N
38.0,2.0,2.0,8.0,1.0,1.0,2.0,2.0,0.0,N
41.0,4.0,4.0,4.0,0.0,0.0,2.0,4.0,0.0,N
35.0,1.0,2.0,9.0,1.0,0.0,3.0,1.0,0.0,N
29.0,4.0,4.0,3.0,1.0,1.0,3.0,2.0,0.0,N
26.0,3.0,3.0,2.0,1.0,1.0,1.0,3.0,0.0,N
22.0,3.0,3.0,2.0,1.0,1.0,3.0,3.0,0.0,N
30.0,2.0,3.0,5.0,1.0,1.0,3.0,1.0,1.0,N
36.0,4.0,4.0,3.0,1.0,1.0,3.0,3.0,0.0,N
26.0,3.0,4.0,3.0,1.0,1.0,1.0,4.0,0.0,N
32.0,4.0,4.0,2.0,1.0,0.0,3.0,4.0,0.0,N
39.0,4.0,4.0,3.0,0.0,1.0,2.0,4.0,0.0,N
29.0,3.0,4.0,3.0,1.0,1.0,1.0,3.0,0.0,N
40.0,4.0,4.0,5.0,1.0,1.0,1.0,3.0,0.0,N
43.0,3.0,3.0,6.0,1.0,0.0,3.0,2.0,0.0,N
44.0,3.0,4.0,6.0,1.0,1.0,3.0,2.0,0.0,N
24.0,4.0,4.0,2.0,1.0,1.0,2.0,4.0,0.0,N
42.0,4.0,4.0,3.0,1.0,0.0,1.0,4.0,0.0,N
33.0,3.0,4.0,2.0,1.0,1.0,1.0,4.0,0.0,N
24.0,4.0,4.0,1.0,0.0,1.0,2.0,3.0,0.0,N
28.0,3.0,4.0,2.0,0.0,1.0,2.0,3.0,0.0,N
32.0,2.0,1.0,5.0,1.0,0.0,2.0,2.0,0.0,N
26.0,2.0,2.0,4.0,1.0,1.0,3.0,4.0,0.0,N
27.0,4.0,4.0,1.0,1.0,1.0,1.0,4.0,0.0,N
41.0,3.0,4.0,3.0,0.0,1.0,2.0,4.0,0.0,N
28.0,3.0,4.0,2.0,0.0,1.0,3.0,3.0,0.0,N
23.0,4.0,4.0,1.0,1.0,0.0,3.0,4.0,0.0,N
31.0,2.0,2.0,4.0,1.0,1.0,4.0,3.0,1.0,N
33.0,4.0,4.0,3.0,0.0,1.0,2.0,4.0,0.0,N
